dissimilarity_angle_3,energy_angle_3,contrast_angle_1,dissimilarity_angle_2,homogeneity_angle_3,contrast_angle_2,class
20.62303729334869,0.5244033040628782,6313.012041522491,19.984972426470588,0.7661726597632766,4942.125995710786,Cercospora_disease_otsu
29.38257593233374,0.5866165526307684,8573.409104190698,27.833409926470605,0.7470349534150281,6943.024463848035,Cercospora_disease_otsu
38.38705113417912,0.3916799228631065,9915.32498269895,24.614031862745083,0.6327683503360672,6049.273529411757,Cercospora_disease_otsu
22.00701268742789,0.4724778971811857,7155.495793925408,25.790808823529417,0.7542759118847144,6413.314215686272,Cercospora_disease_otsu
50.4544252210688,0.3609305534904244,12631.411626297566,22.47991727941176,0.5929326539909908,5498.596246936271,Cercospora_disease_otsu
28.4242522106882,0.4418103953870478,7263.303206459059,17.855667892156884,0.7090537186241404,4371.0840379901965,Cercospora_disease_otsu
53.0637754709727,0.3451621606920955,13700.33727028066,32.70513174019607,0.5889929491450729,8101.949984681367,Cercospora_disease_otsu
32.59363321799311,0.4598264970001227,8963.845782391398,21.126914828431385,0.709767212606955,5212.1721047794135,Cercospora_disease_otsu
54.90051518646669,0.3223271987454384,13884.915847750855,32.64097732843137,0.5591688408777618,8065.520419730396,Cercospora_disease_otsu
40.60779700115344,0.3928394964779789,10284.685382545187,22.91715686274512,0.649071695561024,5637.233149509807,Cercospora_disease_otsu
44.16201460976546,0.356306065863461,11679.378808150708,23.546721813725533,0.6076574542737065,5770.429626225494,Cercospora_disease_otsu
53.11191080353707,0.3349482245120564,13376.718139177225,36.329748774509824,0.5784867322470069,9017.890655637257,Cercospora_disease_otsu
55.71109573241057,0.3341484223313331,14341.751495578616,34.703829656862766,0.5723170542242173,8604.044454656869,Cercospora_disease_otsu
31.25050365244137,0.4436474905147328,7765.397370242211,13.32063419117647,0.7004646862524169,3216.1045189950964,Cercospora_disease_otsu
30.59683198769701,0.4154597624261258,7395.548758169928,15.696369485294133,0.6893657437633904,3810.758624387259,Cercospora_disease_otsu
32.93730103806232,0.429223808835376,9288.398339100351,24.639231004901987,0.6865721838154196,6087.372257965688,Cercospora_disease_otsu
42.34494425221067,0.3875338304329307,10581.60198385236,25.63186274509805,0.6434304412765761,6324.3771446078445,Cercospora_disease_otsu
12.47281814686658,0.6290421566249605,4187.8272664359865,8.504289215686278,0.8648944048806206,2082.34742647059,Cercospora_disease_otsu
49.07886197616307,0.3380041097983687,12465.856993464064,26.840962009803924,0.5786548740279603,6592.863694852943,Cercospora_disease_otsu
27.079523260284493,0.4460171553029745,6841.804429065749,18.21317401960785,0.7249361455099985,4472.034681372553,Cercospora_disease_otsu
35.94885044213764,0.4270829442924733,8895.213733179531,21.522395833333345,0.6819687911759698,5298.463235294117,Cercospora_disease_otsu
21.47146482122257,0.4420005218069847,7597.096224529025,20.86185661764707,0.7286776048534972,5137.146170343135,Cercospora_disease_otsu
50.43953863898495,0.3405834046454083,12691.9417916186,41.40989583333334,0.5880007943511694,10314.35848651961,Cercospora_disease_otsu
38.38492887351017,0.4114663229214749,8860.516155324865,20.668075980392157,0.6635118324166072,5069.251470588235,Cercospora_disease_otsu
10.394048442906572,0.5535705233842495,3317.4064129181124,7.115287990196079,0.8440242052477169,1709.3395833333332,Cercospora_disease_otsu
39.20827374086885,0.3844335929673972,11409.319400230674,33.268275122549,0.6344601120517688,8253.862637867649,Cercospora_disease_otsu
19.37656286043828,0.5442600801022479,4946.720753556323,10.883884803921577,0.7913572718856581,2646.1836703431395,Cercospora_disease_otsu
23.249134948096863,0.5255647967208087,4865.300453671658,11.130284926470583,0.7502798316615461,2683.173238357842,Cercospora_disease_otsu
29.757385620915016,0.533448116905542,8473.658100730487,23.904917279411755,0.7397431986447672,5938.817938112739,Cercospora_disease_otsu
50.29311803152629,0.3267477853667936,13386.59781622452,26.919117647058847,0.5752325642701119,6611.575643382357,Cercospora_disease_otsu
40.853502499038754,0.3922453092470643,10449.109296424444,34.00667892156863,0.6545738955972267,8464.278278186279,Cercospora_disease_otsu
49.96146097654742,0.3313639105879876,13200.774502114562,32.52532169117647,0.5732147219483381,8038.062852328435,Cercospora_disease_otsu
14.501099577085728,0.6049046401505195,3490.596509034986,7.629197303921575,0.8269864545457632,1834.6067095588264,Cercospora_disease_otsu
50.74874279123416,0.3610193991638205,12407.867158785084,33.7227022058824,0.5890056807384015,8356.213357843153,Cercospora_disease_otsu
41.96935024990385,0.3843314508953215,10667.38826605151,29.61505821078432,0.6090899465971803,7310.971798406861,Cercospora_disease_otsu
22.222206843521697,0.4900046594620124,6160.575947712417,15.63475796568628,0.7722268970194435,3842.006939338237,Cercospora_disease_otsu
36.09490196078425,0.3983457198947774,9319.449365628596,28.9654718137255,0.6667054885550989,7182.235232843139,Cercospora_disease_otsu
38.34569780853517,0.3888436173042326,10043.791926182234,32.60804227941178,0.6399103629514861,8088.866191789218,Cercospora_disease_otsu
55.48762783544793,0.3224355888039463,14117.408458285268,45.103553921568654,0.556465976830766,11238.894148284322,Cercospora_disease_otsu
28.20315263360242,0.4838686954996988,6711.325782391377,12.271124387254904,0.7406132885706747,2973.971430759804,Cercospora_disease_otsu
24.93079584775084,0.4776167533947817,5036.666620530567,12.61677389705882,0.7579809009224237,3072.043857230391,Cercospora_disease_otsu
35.73119569396382,0.424394691436504,9166.860115340252,14.45458026960784,0.6857266031934457,3500.500137867646,Cercospora_disease_otsu
30.8142868127643,0.4403384129154688,7527.868527489421,19.64641544117648,0.7123139681739188,4834.227359068628,Cercospora_disease_otsu
